text,candidate,source,channel,script
"यो हत्यारा <br>एसको कहिले पाप निस्किने हो !!!<br>यो उखान टुक्के<br> देश लुटेर, खोक्रो बनायो, देश तईले बनाउँछस?? <br>यतिका वर्ष के गर्दै बसिस त??<br>यो oli को हत्या गरेको पाप एसलाई मात्र होइन यसका झोले लाई पनि 7 पुस्ता सम्म लागोस्!!",KP Oli,election_data.csv,comment,mixed
लुट्ने ठग्ने  मार्ने उद्देश्य किन चाहियो एमाले का झोले हरु संग छ त,KP Oli,election_data.csv,comment,deva
आफु गतिलो भएको भए  अरु लाई जब पायो त्यही भनी दैन के पि बा,KP Oli,election_data.csv,comment,deva
Sala gali garne sabda pani chaina talai.tero ghamanda ra ahankar le yamale ko patta saf garayo,KP Oli,election_data.csv,comment,latin
"Yo manxe le 40 barsha dekhi rajniti garo euta nagar ko mayaer le purai desh nai banai deenu parne 40 barsha ma ba le chai purai kayapalat gare jasto furti lagauxa prashna naya lai sodhna pani laaz hunu parne janta jhukyaune,bharstha manav taskar bhanda aru khasai garya xainau.",KP Oli,election_data.csv,comment,latin
kepi bajeko gaf kehi chalden 😊,KP Oli,election_data.csv,comment,latin
उखानले देश चल्ला र?,KP Oli,election_data.csv,comment,deva
ए एमाले मुझी  बतासे  अन्डा त त होस  आफैले  आफुलाई   किन  प्रश्न गर्दैछस,KP Oli,election_data.csv,comment,deva
Budo jindagi nasudrine vo,KP Oli,election_data.csv,comment,latin
हेर्दै जा वलि तेराेहाल भाेलि,KP Oli,election_data.csv,comment,deva
"बतासे,हावा,झुटो,गफाडी, उखान- टुक्के, खाली आलोचना गर्ने बानी ले भरिएको बुढो गिधी 👈",KP Oli,election_data.csv,comment,deva
Himali bhegma manxe nahunu chai terai Karan le manxe bidesh lagnu pareko!,KP Oli,election_data.csv,comment,latin
त जस्तो अपुताली ले देश चलाएकाे भएर देश  खाली भएकाे पहाडी भेगमा मानिस नभएको हाे ।,KP Oli,election_data.csv,comment,deva
हो कुरा त शहिछ,KP Oli,election_data.csv,comment,deva
Yesle ta yamaraj lai ni thagxa marepaxi kasto fataha ho yo aputali thukka ali kati laaj ghin saram kei xaina,KP Oli,election_data.csv,comment,latin
Bolyo Ki Polyo Oli Ba. Ab ki bar Balen Sarkar.,KP Oli,election_data.csv,comment,latin
पहिला 46 सालमा तिमिपनी बताले अन्डा थियौ होला। तेइ भयर देश धोस्त बनायौ बिगारेउ। तर बालेन तिमी जस्तो बतासे होइन। उ लाई मौका दिने हो भने देश लाई केही बनाउछ। तिमी जस्तो 8 class faill होइन बालेन। उ एउटा इन्जिनियर हो। यो कुरा  याद गर्नु सुद्दो 8 फेल र इन्जिनियर मा कस्को दिमाग हुन्छ भनेर। बखम फुसे कुरा  गरेछ बसेछ झापा जानू सुद्दो भोत माग्न।,KP Oli,election_data.csv,comment,mixed
थुक्क अपुत्राे,KP Oli,election_data.csv,comment,deva
Balen ❤❤,KP Oli,election_data.csv,comment,latin
ए माले पाटिले अब कमेडी शो चलायो भने चल्छ अब,KP Oli,election_data.csv,comment,deva
Yeha 👏 👏 garne haru lai k vannu?,KP Oli,election_data.csv,comment,latin
Ye dargaya.😅😅,KP Oli,election_data.csv,comment,latin
Giri bandu Chor fatale k bhanchaa,KP Oli,election_data.csv,comment,latin
"झापा 5 मा बालेन मात्रै त होइन होला नि, अरुको केही कुरै छैन,",KP Oli,election_data.csv,comment,deva
j bolxas ni aba 1 mahina ho tespaxi gunddu ma bas..,KP Oli,election_data.csv,comment,latin
Yetii bhanera jhan harne vayau buda,KP Oli,election_data.csv,comment,latin
Aru ko khedo khanne matra tero kam xaen.,KP Oli,election_data.csv,comment,latin
Yes kp oli,KP Oli,election_data.csv,comment,latin
Aaputo kp,KP Oli,election_data.csv,comment,latin
NARAN GOPAL KO GEET KO SABDA <br>KO SAHI THOU MA LAGAU,KP Oli,election_data.csv,comment,latin
यो अहंकार ले अब देश नै छाडि भाग्ने दिन आउन सक्छ केपि लाई।,KP Oli,election_data.csv,comment,deva
Dekho Choor Ka Sardar kya bol Raha hai😅😅😅😅😅,KP Oli,election_data.csv,comment,latin
tero adhin hune adalat sadhai muji hatyara,KP Oli,election_data.csv,comment,latin
Yeslai jel na kochera thulo galti vayo sarkarko,KP Oli,election_data.csv,comment,latin
Amle aspali 10/15 site hola dherai vaya topani kini,KP Oli,election_data.csv,comment,latin
Herata jhole harule tali bajako gu khane harule,KP Oli,election_data.csv,comment,latin
तिमीहरुको संगठन त छ तर लुट्न !,KP Oli,election_data.csv,comment,deva
Abako antim bikalpa vnekai sram saskriti party mato  ho jay harka sampang jat desh🇳🇵🇳🇵🇳🇵🇳🇵🇳🇵🇳🇵🇳🇵,KP Oli,election_data.csv,comment,latin
यो फर्किए आउने हो कि होइन के थाहा छैन भन्ने शब्द कुन प्रकारको बनेको यसले यसलाई चाहिँ कारबाही हुनुपर्छ यो शब्दले गर्दा,KP Oli,election_data.csv,comment,deva
"उही पुरानो कम्युनिस्ट विचारधारामा आधारित षड्यन्त्र सिद्धान्तहरू मात्रै फैलाइँदै छन्। तपाईं हाम्रो युवाहरूको हत्याका जिम्मेवार हुनुहुन्छ, र निर्वाचनपछि जनताले तपाईंलाई तपाईंको वास्तविक स्थान देखाउनेछन्।<br>तपाईंको भाषण हेर्नुहोस्—तेस्रो दर्जाको स्तरको छ। तपाईंलाई ताली बजाउने र समर्थन गर्ने मानिसहरू तपाईंका षड्यन्त्र सिद्धान्तहरूले अन्धा बनाइएका छन्।",KP Oli,election_data.csv,comment,mixed
yo aputuo ho,KP Oli,election_data.csv,comment,latin
त्यस्सैले हेलिकप्टर चढेर भाग्नु परेकाे छ। अझै ठुलाे कुरा गर्छ ।,KP Oli,election_data.csv,comment,deva
"यो अपराधीलाई भोट हाल्नेहरुको नर्कमा बास हुन्छ। अरु त परै जाओस्, एमालेकै सज्जनहरुले पनि यस्ता चोरलाई भोट दिनुहुन्न।",KP Oli,election_data.csv,comment,deva
यो देशको लागि अब मात्र हर्क साम्पाङ चाहिएको छ अरु सबै झुसे घुसे हो। जय माटो जय देश❤,KP Oli,election_data.csv,comment,deva
अब हत्याराको अन्तिम भुकाईजस्तो छ गयो हत्यारा गयो चित्रगुप्तलाई भेट्न,KP Oli,election_data.csv,comment,deva
Tw gadha kin lagdaina yamraj le xito laija ylll kati boleko yo gadha,KP Oli,election_data.csv,comment,latin
Machikney  dar le gu niskiyo oli ko,KP Oli,election_data.csv,comment,latin
तेरो वाऊ,KP Oli,election_data.csv,comment,deva
जेन्जी हरुले नछोडेको भय हुनेथियो भदोै  चोैबिसमा गल्ती गरेछन किन बक बक गरेको होला,KP Oli,election_data.csv,comment,deva
herdai garula Fata chor,KP Oli,election_data.csv,comment,latin
Vote halne manchae chaina bhamera chunab nagarau... Oli lai pm forever....,KP Oli,election_data.csv,comment,latin
Vrast gran janya xain. Jay bale .jay ghanti.,KP Oli,election_data.csv,comment,latin
