text,ashutosh,benju
"I'm  watching this show respecting  the showname ""inside the bunker"" where the guest speaks from the inside of their heart, त्स्तो निस्संदेह आफ्नो मनसाय बोलोस, यौटा त्रास रहित सत्यको कुरा बोलिदियोस लागेको, suraj sir ko qsn ले नि त्यस्तै अपेक्षा गरेको but speaker ले बुजेर नी सत्य बोल्न नचाहेको, show ko मर्म अलिक meet भएन जस्तो लाग्यो।...",neutral,negative
Missing Sumana Shrestha. she was the one of the TOP Sansads.,neutral,positive
Pray For Peace.... गृहमन्त्री ले नैतिकता देखाएर राजीनामा दिएर परिपक्व मनिष झा हरु जस्ता परिपक्व गृहमन्त्री बनाउ   ।,negative,positive
केपी चोरभन्दा त प्रचण्ड हजार गुणा best!!,positive,negative
पुराना दललाई भोट किन?<br>1. एक एक वर्षमा सरकार बनाउन!<br>2. संसदमा कुर्सी हानाहान गर्न!<br>3. सत्ताको लागि जस्तो पनि गठबन्धन गर्न!<br>4. एउटा सरकारले बजेट बनाउने अर्को सरकारले कार्यान्वयन    गर्न!<br>5. 9/10 महिना सम्म निरन्तर संसद अवरोध गर्न!<br>6. सत्ता र शक्तिको चरम दुरुपयोग गर्दै जथाभावी राजनैतिक नियुक्ति गर्न!<br>7.बिधिको शासनको धज्जी उडाउन!<br>8. कार्यकर्ता पोस्न!<br>9.नेताको प्रभाव क्षेत्रको आधारमा बजेटको असमानुपातिक बितरण गर्न। <br>10. भ्रष्ट र अपराधीहरुलाई राजनैतिक दलको आस्थाका आधारमा संरक्षण गर्न<br>11.देशैभरी भ्रष्टाचारको जालो फैलाएर देश लुट्न!<br>12. .............. थप्दै जाँउ!,negative,neutral
फन्टुस तर्क नगरौ न हो! यत्रो powerful PM भएको मान्छे!,negative,positive
याे मुजिले २०८२| ५ | २३ २४ काे आन्दोलन अगाडि जे जस्तो सानो तिनाे भ्रष्टाचार गरे पनि २०८२|११|२१ काे चुनावमा बहुमत लिएर आए पनि भ्रष्टाचार गर्न नपाउनेभयो भनेर  एमालेको पत्तासाप हुने भयो केपी ओलिलाई कानुन नलाग्ने साेजाे जनतालाई कानुन लाग्ने देश चलाउने प्रधनमन्त्रिलाई कानुन नलाग्ने जय जेनजि नेपालकाे कानुन गरिब दुखि  र साेजाे जनतालाई जानुन छ जना नेताले नेपालकाे बजेट भ्रष्टाचार गर्न पाउन जय  <br>ग्रेटर नेपाल,positive,negative
यो  बेलुन  घण्टी  मा  आय  बाट  मलाई  rsp  मा पर्दैन,positive,negative
राजेन्द्र sir ले पेल्नु नसक्ने भनेको हर्क सम्पाङ् लाई मात्र हो अरु लाई त पिसाब निस्किने गरि निचोर्नु हुन्छ 🤣🤣🤣🙏  anyway एकदम सान्दर्भिक छ 🙏🙏,positive,negative
सार्वभौमसत्ता राष्ट-राष्ट्रियतामा भनेरअ लेखिदीएकाेभयए खाेलानुहायएर कमन्डलुबाेकेरअ कुटिझुपराझापराे टहराे बााशहुन्थ्याे आगाेतअलाऊनुपर्दैनथ्याे हाेलानीिंँ।-Gen-zZ,neutral,negative
"🇳🇵🙏Genz आन्दोलन र सुनसरी घटना एउटै हो भन्ने ,एउटै देख्नेको चै मानसिक स्थीतीको check गराए हुन्छ।",positive,negative
